Date,Sales
2020-01-01,100
2020-02-01,110
2020-03-01,105
2020-04-01,120
2020-05-01,115
2020-06-01,130
2020-07-01,125
2020-08-01,140
2020-09-01,135
2020-10-01,150
2020-11-01,145
2020-12-01,160
2021-01-01,155
2021-02-01,165
2021-03-01,160
2021-04-01,175
2021-05-01,170
2021-06-01,185
2021-07-01,180
2021-08-01,195
2021-09-01,190
2021-10-01,205
2021-11-01,200
2021-12-01,215
2022-01-01,210
2022-02-01,220
2022-03-01,215
2022-04-01,230
2022-05-01,225
2022-06-01,240
2022-07-01,235
2022-08-01,250
2022-09-01,245
2022-10-01,260
2022-11-01,255
2022-12-01,270
2023-01-01,265
2023-02-01,275
2023-03-01,270
2023-04-01,285
2023-05-01,280
2023-06-01,295
2023-07-01,290
2023-08-01,305
2023-09-01,300
2023-10-01,315
2023-11-01,310
2023-12-01,325
2024-01-01,320
2024-02-01,330
2024-03-01,325
2024-04-01,340
2024-05-01,335
2024-06-01,350
2024-07-01,345
2024-08-01,360
2024-09-01,355
2024-10-01,370
2024-11-01,365
2024-12-01,380

